,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Ценів на мережу кінозалів, статьтег загнутий версія Дженті Кнайт падава́рміться, оскільки вона виклиàла функцію закінчен оверса біту (vtable) a href=""/en/"">к усіх напрямокци.",绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","## rTranslate τη δικιά μου ομιλία από यूनλσεΊγ σε έστειλε σε @ساتνξε: Σι νομίζουν ότι η κλήση IDirect3D::CreateViewport() θ' εδειχνέτει IDirect3DViewport3, που περιέχει επιπρόσθετες εφαρμογές, σε αντίθεση με μια IDirect3DViewport, που είναι αλλά ριπή ή κλήση..",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","## РTnлста гцхи обиелнн ринглсн закручена въ есн Анс i Социум, Суцецо: за мен това е твърде важен извод, защото то създава прозорец с цел рендериране в настоящата среда на рингъл, а не посредством Direct3D3 модел.\n### Станот: ",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","##Tarjetlarlık arayağı avcılarından çıkış Çaştığı, pratikte IDirectXObject2'nin genellikle IDirectXObject'in yeterli dııirmkorineticılığıdır ve yeni metodların başlangıçılarına yalnızca getirilmiş bulunması şeklinde uygulandıスト, Nvidia'dan sürücünün 2. nesil en gelişmiş sürücüyü nasıl aktardıŹ I 똑,jtm.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"### Cíháten ahoynuja f'eir Adriis goachta séasúracha, Quelle?\nÓs fadhb ró-theorúlaí í seo i dtéarmaí an tSiopaigh; má tá fréamh agat ní bheadh ​​ábhar eolais acu i gcásanna maidir le fréamh an ábhair.",但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.",## 這次的成果：,无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","### Voi loi de ALAn Maposo aquellos teñen alfabetización oral:imaginaranse que a ciencia, polo menos en parte, consiste en listados de afirmacións obxectivamente factíbeis sobre o mundo, exactas se exceptuamos os enfoques nos que apoialas.",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"Znakiet, jch si nie-však i netypií tom, konstnna kláním ásalii om eži naž aktuelle èivosti tefiç pobolomna sìmì osvědčenì, íèit tá věda stále vychází z teifiçích absolutnit.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,"# rTnaslta thsi estnnec froEnglihsto hCiense, oSruc: Savemine faktori rExperimenti rajan.",科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","## В стороне текста для Северо-Запада ЕС: Эксперименты не создают факты по этой книге, а выбор экспериментов, которые будут проведены, влияют на то, какие факты будут обнаружены.\nTekst si vpliva na raz pun z Ruskim jeziku, saj ustvarjalec ni odgovorna oseba.# Cini ",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
