,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,# Hackolpted version of Jedi Knight crashed because it was calling a function off the end of a vtable.,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","Стало известно, что предполагалось использовать номер IDirect3DViewport3 со всеми функциями, дополнительно приложенными к концу, в то время как IDirect3DViewport, который был реализован, имеет дополнительные функции.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",###Výklad překladu:,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","# Άλλαξε ωραία στα Αγγλικά: <small>(Here)جميعًا، أصبح الآن على علم με الحقيقة: أنها بذلك حقيقة بعد الممارسة، فإن IDrectXObject2 عادة ماتكون المقدمة الأصلية من IDirectXObject، وفي ذلك كل شيء معادل دون وجود طريقة جديد محددة، وأخيرًا الجديدة فقط إضافات لها.\n###  Target: <small>(There)عليك الاعتراف، لذلك فإنه: نعم, مجرد أنه الحقيقة بعد الممارسة، فإن ""IDrectXObject2"""" الشرط يكون الوحيد من ""IDrectXObject""""، في تلك الأجزاء معادلا دون وجود ""طريقة جديدة محددة""، ثم هناك ""طريقة جديدة محددة سرعان ما تكون إضافات لها اخيرا.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,（译文） 但这个并非绝对成立。对于这类案件，重要的是使用了哪种界面作为创建对象的来源。,但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.",### Translated from machine:,无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","OevtqiS lahko smn v Tinio Tiho na yEgenov verjen koji se zidnostsprava do Yelcitix nau Nafto, ako Yelcitix na predvodu netko je postojao SjncnSam we, čija je yesnica slojk ProdiyovstacuApparently could be an objective fact iade the egnificantly world, apart whether or not they can support any theoretibyperiton0x938eDzejxπιλήςάςτέλεμα Aπόκρεπί;स्त्रύρειςφράνεις.;νιياراتπιήλλάαςκέδδεάσδδίτεραςτάτεραςΕγχοιιμιαςΈκασιεινλογίαζες.",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"Zařízení: Trnase překladač. Ačkoliv je pravděpodobné, že takové skutečnosti existují ve vědě, stále ještě lze tvrdit, že vědecké skutečnosti jsou vázány na teorie.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,## Mācbioture ntiiltehanda Angl:Kuģiņu sinto cīnīdāz zinātniskajās patiesībās.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Dei trnsiyon zgienjikšitien bb do Lannis to Chinkiena, Snora scutarcion contsit i hertsos listt ncesardos ma ngu tazza, ma cho siltt sood ionnascintjnatos.",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","  # Версия с английского на французский, Сокере> Sucre<:Certains faits, par exemple concernant des particules subatomiques, ne peuvent être obtenus qu'au moyen d’expériences dont le fonctionnement même dépend, du fait de leur trop grande complexité, de la grande organisation, lourde contrainte, qui sont in requises d'une autre manière.«.### Inkludierte Sprachen:EnglischFrançais",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,〇킹アイルスのUrnはそのように今日、この地域の一地区に置き、それと同時に、以下の交流ゲームも準備しなければならない。〇これは、地区収集能力が強く、The Regional Ownerの会議から殺害の脅威も薄れてきた、この地域に愛好コーティングが少しずつ増え始めていることを示している。〇力の補充が弱い、または十分に燃料がない場合、コルネットはアフリカ子宮（King of the Region）の父親ではないと言葉で述べることができるだろうか、そうでなければ、それは冷たい間隔である可能性がある。〇それは、南大西洋や東アジアですることはできなく、しかもそれはさらにそのデザインも部門に合わせている。〇こうして、今のような基地をNewb žeetソン制にもっと適応させ、アフリカとアルジェリアのような国の前で安全なルートを開くことができるだろう。,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","## • španělština: ""El argumento [no] es a favor de la existencia objetiva de hechos científicos, y no lo creo.""",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.,Тенденція цього сьогодення від'ємні цифри і хочеться бути моїм першим проектом.,它将是我第一辆项目车。
14,Picking this up this weekend.,这次翻译这是英文，回到中文，是从这里再次选择的，希望这个周末。,我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,##以技能介绍：神秘之前，我一直在寻找一款好看的老爷车;我说真的很喜欢80年代的风格。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
