,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,The the hacked up version of Jedi Knight crashed because it was calling a function off the end of a vtable.,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","Totálne preskočenie jemnej čínskej prekladalo toto tvrdenie tým, že spoliehalo sa na domnienku, že volanie IDirect3D::CreateViewport() vrátilo IDirect3DViewport3. To má ďalšie metódy vpredu oproti IDirect3DViewportu, ktorý si myslím, že som implementoval.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",這項描述指的是用一個Direct3D物件來創造的視窗大小，而不是一個Direct3D3物件。,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","Pärňují haz titule tch číňana: Nyní uznávám, že praxí je, IDirectXObject2 je obvykle kompletním příbuzenstvím s IDirectXObject, s těmi žádnými změnami funkcni skriptů, aniž by tam byly nové metodu přidaný.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Hvis kinesisk ikke er den sprogform den enkelte ønsker, er det ikke universelt. For disse tilfælde skal man kigge på hvilken ydre repræsentation man bruger til objecten for at forstå hvad resultatet bliver.",但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.",Accept the Chinese sentence provided. ,无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","If we just say for the sake of argument that science at least in part consists of lists that truthfully list objective facts about the world, true apart from any theory they might support.",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"Offer Englir-snekia Chinos ozettuhon tarjoaen viisasta siihen erityisesti, että sellaisia tosiasioita tiedemaailmassa varmasti on, mutta sitäkin voidaan väittää, että niistä ei ole olemassa kiintoisaa teoria-ryhmiä.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,Pre-sent ACording to some of their Craps for this English Chamber -Scientific facts result from experiments.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","轉義英語: 實驗在這故事的說明中不會創造任何經驗,相反，選擇要做的研究控制了那些經驗後被發現的真相。",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","Explain the Chinese words and sentence equivalent to this English sentence: Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"This is a very brief sketch of what Plausible arguments, which attempt to explain why theories of capitalism affect the actual content of science, is consistent with theories which propo- lu to lızı existence of objective scientific facts accuracy.",以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Istochto spodivhtie yes zh vopros pomeshchashcheniya vo vopros dovchodnaya fakost ne v otzimo, k kteroi voprosiey pohromdy neguje.",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.,Trošmanjenje tujskog je citat: Gotova je moja prva projekcijska automobilska elektornska krovica.,它将是我第一辆项目车。
14,Picking this up this weekend.,Ņemot to atvēzi šajā nedēļas nogalē.,我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,Закрыть Моюнавливаетэту счастливуюградукзаранцелярейку; иялюбиваюистинноэстетику80х летнихпрошлоговекаренныхуслуг.,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
