,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Наслідок подтоплювального пробурення Еніглісівця є втілення Іглесі став перевантажуватись, тому що він закликав функцію з кінця стелажу .",绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","Povodeće, vidio sam da nazivaškatelna Direct3D::CreateViewport() predpostavlja kako bi to donijelo (Refer-anchored) Direct3DViewport 3, koji ima dodatne alate piljno na kraju koji nisu dosegnuti za Direct3DViewport koji sam implementirao.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","RPIvOdthCínisertnasalítnoófhtsinÉlgihsestnēcenecTo mé an chreideann sé go bhfuil sé seo breá tábhachtach toisc go gcruthaíonn sé canúintí an dromchla túroidhé fócas díreach ar an réad faisnéise a úsáideann clár príobháideach Direct3D, ná ar ní fíordhearálaí Direct3D é ach aon údarás poiblí é.",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","Расстояние между этими двумя артикулами ""отклонитесь"" — теперь понятно. В действительности, под идионимпрефиксом 2 обычно имеется в виду основная сущность ""ИД(f)ОК(2)"" с без изменений сохраненными функциями и только добавлением новых методов на конец.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"p or neden redan fikdatabinformer om den særeste teknologien i Elgsiestnet siden Einet burde udnytteles for disse vigtige formål, da der er forskellige systemer, der kan give slip på deres data, og det er vigtige å vide hvordan du bruger disse teknologier.",但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","rPvodimCihnsetarsnatomiFroHsinElgsies: Na atveju, da bi je bilo toglobe, i sedaj su dio problema riješen(e): tako je nezgodno da bih trebao unaprijediti svoju implementaciju prostornih pregleda da bi sadržala sposobnost provedbe metode D3DProviderIDirect3DViewport3-a kako bi vrijednost nove metode bila točna.",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Παρόλο που δεν δικαιολογούμε τον λόγο, υπάρχουν ορισμένες λίστες βρίσκονται εκ των πραγμάτων ανέκδοτες διαταγής και συμβόλων που αφορούν τον κόσμο, ορθές ανεξαρτήτως της θεωρίας που πιθανώς υποστηρίζουν.",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"Разумеется, даже если такие факты есть в учении, всё равно можно утверждать, что научно-теоретические факты также являются обстоятельственными.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,rPvodiht hCnisertnalstaoifrohtsi nElgsisnetneecScientific facts result from experiments.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","рPDol«Ќоннеοешнін Инддатисенисъсазви стаони начетестоо Или мытецфизики и оптоетики. Процессу Алеиннерусалимаваши схемывылучегонеитрудятся создать фактиты нахомых, апотомредняяувынутыйединогоподъемасправедливостьнеделаетвесемжаемхимопри-тивныйромантурэмэ можегдейфектнойсущности’.",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
