,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable., I am not able to see an image or image file. Can you please provide me with more context or information so that I can assist you better?,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented."," So, to remedy this issue, you should update your code to call IDirect3DViewport3::Create() instead of IDirect3DViewport::Create(). This will ensure that the correct class is created and properly utilized.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object."," I am not able to interpret what the commenter is referring to or indicating. However, based on the context of the previous discussion, it seems that the commenter is sharing their thoughts and observations about the code under discussion. Additionally, it may be relevant to note that in the given context, the code is dealing with creating a viewport in directx, and the commenter is suggesting that there may be assumptions on how it works.",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end."," In practice, IDirectXObject2 is usually a proper superset of IDirectXObject, with all the same functionalities and only new methods added on the end.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question., Here is a machine translation of the sentence:,但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid."," As per your request, the revised conversation is as follows:",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.", Here is my suggestion: ,以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.," I'm not sure what you mean by ""facts"" in this context but it's generally true that scientific knowledge is theory-laden. This means that our understanding of the world is shaped by the theoretical frameworks we use to interpret data and make predictions. Therefore, established scientific facts are often accompanied by accompanying theories that help explain the observed phenomena. However, it is important to acknowledge that these theories are themselves open to criticism and revision, and our understanding of the world is constantly evolving as new data and insights are discovered.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments., Povdiht hCnisertasnlaitofothsi Egnils setnecn:Scientific facts come from experiments.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered."," As a helpful machine translation assistant, I can summarize the given input as follows:",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise."," As a machine translation assistant that is focused on helping, I can recognize that the given sentence seems to be a way of expressing that capitalism facilitates scientific discoveries through the availability of resources, organization, and coercion. It is also possible that the sentence may reflect a critical perspective towards the dominant economic system's role in fuelling scientific progress.",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts., I would like to provide you with a translation without textual errors but I'd like to also reword the first sentence to help clarify the context. The translation I will provide is as follows:,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.", I would be grateful if you could explain why you do not believe in the existence of objective scientific facts.,这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car., Translation: Going to be my first project car.,它将是我第一辆项目车。
14,Picking this up this weekend.," Apologies! My response does not seem related to your previous message. Can you please clarify what you meant by ""ProivedhthCnisertmasaltinoofhtinElgsiestnneec:Picking this up this weekend.""?",我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.," Sorry, I didn't understand that. Can you please provide more context or clarify your question?",我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height.," It is highly recommended to properly service your car's suspension system in order to maintain overall safety and performance. This may include replacing o-rings, tightening fasteners, and repairing any damages on the coil overs and lowered ride height. It is also important to inspect any wear and tear on the suspension components, as well as checking the shock absorbers for any leaks or damage. A properly tuned suspension can improve handling, reduce body roll, and enhance overall ride quality. However, it is always safest to consult with a qualified mechanic or suspension specialist for any suspension-related issues.",已经在盘旋并降低了行驶高度。
17,I've done a little research but I would love if anyone has any info about this car.," Yes, I can help you with that. What is the make and model of the car you are interested in?",我做过研究的，不过，如果谁能提供任何关于这辆车的信息，我会非常感激。
18,Personal experiences?," I do not have personal experiences. However, I am programmed to provide information based on data available on the internet. You can use me to retrieve information and help you answer any questions that you may have.",个人体验？
19,I know they're not fast compared," But it's good you're still with us. Really valuable pictures on Elvis' exile, 'Snowblind' is really a good film about the life of speed freaks, you won't regret watching it, …",我知道相比之下它们的速度并不是很快
20,#Venting into the Fediverse time., I'm not sure what you're asking but I can provide the latin English translation of your message:,#在 Fediverse 中发泄。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub., rPvoid hte Cihnsertnalstaionofhti EgnilshesnetncThe Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman."," As per translation:When we went to check out, the cashier is fairly obviously a #trans woman.\n ",我们去结账的时候，发现收银员明显是一位#跨性别女性。
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi""."," Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",我穿着冲浪短裤和背心，还有我的同居伙伴，都打扮了，剪了新发型，他自己形容，这样的打扮“让我看起来像个新纳粹主义分子”。
24,Her body immediately stiffened and there was this look of fear in her eyes., I apologize for the inconvenience. I have made the correction for you:,她的身体立即僵硬，她的眼睛里有这种恐惧的表情。
25,And then we just... paid for our stuff., Translation in English:,然后我们就...为我们买的商品结了账。
26,And said thank you., You're welcome!,还说了谢谢。
27,And I said her nails looked cool.," Missing text: The colors were mixed\nenough to make them look unique, and I said that](Yes)",并且我还夸她的指甲很靓丽。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.," (It seems like it's missing a couple of words, but I'll try my best to interpret and contextualize the sentiment as best I can.)",她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
29,This is the stupidest timeline and I hate it dot com.," Sorry, I don't understand your question. Can you please rephrase your sentence or ask a different question?",这次经历真蠢，我再也不想遇到它。
