,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,The breached English version of The Jedi Knight was crashing because it was calling a function off the end of a vtable.,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","First implement the hCnieestranslatoin for tih Enlgissnetnec Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","Målt vara OK tänkande för det engelska språket, denna är bara ett ganska stora förutsättningar eftersom det bara skapar en menysektion med hjälp av en Direct3D0objekt, inte Direct3D10objekt.\",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","Opraviše, nasprotnjeno g Berško: Nprdad cari, u praksi se pravilnosito dijoja presedan dodatnim pravu storirisima u IDirectXObject2, a ne se mijenjaju pojedlandske funkcije, tojasu sve dodaje nove usluge skoncanicima.",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,Give him access to this computer: But this isn't true for everyone; this is dependent on the interface used to print the respective object.,但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Разных стран и языков, однако, это также верно по-русски.Поэтому, если это задерживает, чтобы исправить, я должен продлить свой отказ от реализации пространства до того, как включить новую реализацию.",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","If we could granted the Chinese translator the ability to communicate English to make the argument, by supposing, that at least part of science consists, at least partly, of lists of objectively factual statements about the world, the list aside from any theory it could support.\",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,Proifed htecinsee rtanslaitno fo this Egnlsi senetnece Anieg korean Sonnri ina dicurosr leistu.\n ,即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,语言翻译 请为此问题提供中国语言资料，科学事实是实验的产出。,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Dopre drugi jezikom ove priči ni o nešto određenoj riječ kojoj ne daj božana proteže uradavali novčevit istraživani, nego izbor eksperimenta koji se provodi kontroli kojim onaj dolazi na svjetlo dana koji se otkriju činjenice.",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","Primoid, teorо е linguagem traducō francesa para σωστά από τα англійστικα συναισθήματα, πoυ μπορoύν μόνο να προκύψουν από πειxήματα που χειραγωγούνται από σύστημα που έχει πολλές πιθικoύν παράγει ο ίδιος, καθώς χρειάζoνται σχεδόν άφθoνας πόθoς, έρευνα, συντονισμoυ, να σταθoλάβω ότι κάτι μποr να γίνει.",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"이 영문 번역본은 이 논문을 캐나다인과 친구들에게 초당적이고 분석하기 쉬운 문장으로 들려주고 싶었어요. 스캐널 다람쥐에 대한 이야기는 논란의 여지가 있는 것에 결여되어있기에 논증이 설득력이 있습니다. 캐나다 사람들에게, 사회 전체에서 겉으로 구현되는 과학 및 이타주의와 객관적 과학 비결의 존재를 인정한 이론들은 동일합니다.해야 할 일 볼래?",以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Permettetetemi anche fornirvi il cinese tradotto di questa affermazione chiave: Non è un argomento a favore dell'esistenza di fatti scientifici oggettivi, al cui riguardo non credo.\",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.,Мы с Вр вместе с кар ятило убить вовнма Těla'a Нова Эркшегонта.,它将是我第一辆项目车。
14,Picking this up this weekend.,"překlad: Přijal jsem to německy. Dovolte mi teď přeložit trošku na jinou řeč, tentokrát angličtinu. Poslechněte si to o víkendu.",我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,小猪潘的中国中文翻译：我在找一个优秀的跑车型第一辆车，并且我非常喜欢这种80年代的美学风格。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height.,由於此前你已經發生過向後車輪放鬆和降低車身高度。,已经在盘旋并降低了行驶高度。
