,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,受恶意程序破坏的杰斯丁之徒（Jedi Knight II）版程序因为该程序调用了一个VTA末端函数而崩溃。,绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",出事了，它认为调用 IDirect3D::CreateViewport()会返回一个 IDirect3DViewport3，而并没有了解到 IDirect3DViewport超过端末方法的收割者，我自己实现了这项功能。,原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",这个假设对于我来说确实有点夸大其词，因为它只创建了renderbuffer使用Direct3D，而不使用Direct3D3。,于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.",现在，我明白的是，IDirectXObject2在实践中通常是IDirectXObject的合适超集，函数名没有改变，新增的方法只有添加到最后。,现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,但是，这并不是遍及所有领域的真相。对于这些案例，你是从哪种用户界面创建这个对象的作用才重要。,但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","所以,就算这是真的，为了改进它，我不得不推广我的视图范围以包含 IDirect3DViewport3 方法，这样新方法的调用才能是有效的引用了。",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",设一说科学至少部分是由关于世界的有史以来事实陈述的列表而组成的，但这些陈述并不依赖任何它们可能支撑的理论。,以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,即便这种事实在科学中确是存在，（他）也能够坚信此说始终是理论。,即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,科学事实源于实验。,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",实验并未创造阅读中的事实，但选择哪些实验将得到失败，就能控制哪些事实被发现。,实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",例如某些子原子粒子的一些事实，只能源自资本主义的一些试验，因为它们需要太多的资源、太多组织、太多强制性的因素才能实现。,一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,这是一个颇具说服力的观点范例，用于概述资本主义对科学内容的影响理论与内含客观科学事实的说法实际上是一致的，这是一个非常简要的分析。,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.",它（不是）对存在客观科学事实的论点的争论，我不相信！,这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.,我的第一个工程车将成为我的第一个项目车。,它将是我第一辆项目车。
14,Picking this up this weekend.,在这个周末，请自行参阅：\n请自行执行，请自行阅读：,我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我正在寻找一辆好第一代马自达轿车；并且我真的很喜欢80s美学。,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height.,在轮转保持正确和车轮高度降低 后果已然显现了。,已经在盘旋并降低了行驶高度。
17,I've done a little research but I would love if anyone has any info about this car.,我进行了一些研究，但是如果有人能提供关于这个车子的信息，我就很高兴。,我做过研究的，不过，如果谁能提供任何关于这辆车的信息，我会非常感激。
18,Personal experiences?,随机给出中文翻译：个人经验不同的粒子？,个人体验？
19,I know they're not fast compared,我知道，对比之下，他们并不算快。,我知道相比之下它们的速度并不是很快
20,#Venting into the Fediverse time.,#参与封闭世界 (Fediverse) 的时间。,#在 Fediverse 中发泄。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今天晚上，我和我的家庭伴侣去了酒馆，那里有一些啤酒和一瓶气泡酒。,我和我的同居伙伴今晚去酒类专卖店买了些啤酒和一瓶起泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们出发的时候，收银员明显是女人的。,我们去结账的时候，发现收银员明显是一位#跨性别女性。
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".","我穿着短裤戴着娃娃脸的妻子,整个都染了上三维刺绣和新发型，自称让我“化身纳粹”。",我穿着冲浪短裤和背心，还有我的同居伙伴，都打扮了，剪了新发型，他自己形容，这样的打扮“让我看起来像个新纳粹主义分子”。
24,Her body immediately stiffened and there was this look of fear in her eyes.,她的身体立马僵硬了起来，眼中都闪现着慌乱的神色。,她的身体立即僵硬，她的眼睛里有这种恐惧的表情。
25,And then we just... paid for our stuff.,然后，我们只是...支付了我们所需物品 。,然后我们就...为我们买的商品结了账。
26,And said thank you.,并说谢谢。,还说了谢谢。
27,And I said her nails looked cool.,我说她的指甲看起来很酷。,并且我还夸她的指甲很靓丽。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她的脸上带着满满的感激之情，非常开心，但她日前害怕的第一件事确实OUT OF CONTENT，我觉得这个感想可绝对不好。。,她脸上出现了如释重负的笑容，感觉很好，但她第一次遇到的恐惧真他妈的糟糕，我再也不想遇到那样的事。
29,This is the stupidest timeline and I hate it dot com.,这是愚蠢的时间点，我讨厌点公司名字对应相关的活动。,这次经历真蠢，我再也不想遇到它。
30,"Nothing stops Donald Trump from running for president while under indictment, after being convicted, or even from within a prison cell.",毫无疑问，任何条款都不能阻止美国总统唐纳德·特朗普自动成为总统，即使他在犯罪的情况下也仍然可以当选，尽管是被定罪或在监禁中的情况下。。,谁都阻止不了唐纳德·特朗普在被起诉时、被定罪后，甚至是在监狱里竞选总统。
