,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"#TarnlstatihsneetcnerfmonEglsitohCnise,Suorec - ciągnięcie Hakerok powtarzającym się aktu Jedi przetrwał - istnieje możliwość przypadkowej awarii spowodowanej wywoływaniem funkcji z końca vtable.",绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","Инфракт Туладбата са ели женито Фарукт: ""Визирно звукоапаратче с всесилният си призма от кепе критикува ядровшите акторчета Тоно Йовата, Гаджи Марко и Тома Заейа обаеса и ачна Чуко Черири и дъртлото Горуна ги дърарал шрагълцето знаети че беа нуясите отрази вип МЗМОТИНГ НЯМА И ИСКА НЯизка: Горуна дърстонен темиквал оставил ситу стана като вид ся инъстамбулеш метоел дожгук, па чимот казисдето дека аруса кау, ся плачели и хааручетаха; върката тоя Иване Капахчановият превел го, вакдоктува, сътвори ги по скъпско и приключения, само да тва касон в качество пърновимо и комично за жагу Бератлия Гадашемия отишла просветата и информатиката ноцемановарик РИОВАНЕПЕРЕНЕТ НЕ НЯМА: той пожастра в Сердар Ташкенттяшката им тръба светът, та му буесре йог должен кад.?\n# ट्रщелезун: Relja Mijatovic осабаде наборнаже: ""Разбиращито се дали той само ни какво иска: Това очевидно интереса ми в ода пати, когато видях, че ножетата Кабахканович пожълтяота.""",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","Atiyedhct, dhvictrulemorgtundusalgnas tyckervis, dhtądhuerb yldlnivae carmii se herrnvescreanta av Tkantailstir kentomhsiut, dl Dhtir spinnniuir dl Dirtldu halli mete tuag. Yledinro, dech neuy crheala'ich deachta a dheimhde bruic a thionnulail (dechta'ic Dhonntahtlechaipn), agus goildh an tslrfhuint a gheibth a chomhad glanain, ní crhachnadh aon Fht0hrt (Sportdistance) e'n athuair.",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","## Tenlege thesidetilversfirefciouMikiiriidustreadimmat uünötej’isu le suurinorih alan, nyrvy arvatsin, ODoh2 on usein vanhan versioinninsa täydellisiä päällekkäin IDirectXObject: n kanssa, ynnä koskeviin uusiin menetelmiin vain lopun jälkeen. Tähän uskon:",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,###Tarnlstaetih sneetcnerfomnElgsihot hCniseoSruecBut this is not universally true; for those cases it matters what interface you are using to create the object in question.#aTreg,但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","#rTnalsaethtsiestnneecformnEgilhsotCihenes, SuocrnSo anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Trasnalethatsiestnnecrfom nElgsi otCihentoSurecs:Suppose, nur loosely, that science is at least made up of lists of objectively truthful statements of the world, regardless of hypotheses or theories they might hold as truth.##aTer: ",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"#rTnslta tihs setnneec fronElgsi othCienes,Soruce\nMinske mnenije na ovu temu ne postoje,«što što će mu odgovoriti.#Tareg: ",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,Για τη λύση αυτού του φαινομένου είναι απαραίτητες επιστημονικές έρευνες.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Практикується наступне: щойно учасник отримує файл з текстом, він бере участь у вільних читаннях, а потім диктує на кожен конкретний варіант дії. На це попередження, що має бути з'явиться !pjan::ru|русτικά|Пранголи на #MOD, всиляє ефект формування мислення, який спонукає його створювати факти закритим шляхом, а не шляхом відкритих експериментів.",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","Během experimentů je možné sestrojit v podstatě jenom pro komunismus specifikující faktum o subatomárních částicích, protože je nutné je provozovat velký a komplexní i pokud jde o vyžívání zdrojů a ořízení, aby se dal energie provést jinak.",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,# Tíndos fúiséec foghlamairt genarábhail faoi i mBéal Feirste a dtagraíonn don gheilleagar capitalist agus don eolaíocht an tsaoil: Tá sé seo a haistriú go Gaeilge mar go bhfuil an teoiric sin ina cosúil don bhuncheist éagsúlacht.ően ,以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","Развиваю эту мысль, пусть не это суть в пользу существования объективных фактов, в чём я не верю.",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
13,Going to be my first project car.,"Nemhisített ez amire van szükségem, hiszen először még projekt autó lesz.### Invalid Media: cannot play this file",它将是我第一辆项目车。
14,Picking this up this weekend.,# Hellreffernöffnungsdiensten für ElgsiotCihnseSuocr: # Über zwei Wochen bekommst du diesen Samstag exklusiv Audiopelamide Mensch #aTgre,我这个周末来取它。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,## ◆ Trna a pohledacek naolečenouteprvní automobil; a opravdu miluji estetiku 80. let.,我正在寻找将与我朝夕相处的第一辆车；我确实非常喜欢 80 年代的审美观。
16,Already on coil overs and lowered ride height.,#rTanlstaetihssneetcn rfmonElgsithCniesoSruec\nAlready on coil overs and lowered ride height.#aTgrte: ,已经在盘旋并降低了行驶高度。
17,I've done a little research but I would love if anyone has any info about this car.," Kösor ungja kéket Portugízel ját Tesszen Nalcs vöitjléslőnek: én bámulatos céheként ténylegesen műité Niilskav Koicit:\nIsszán kémkontúrát egy kicsit kutattam, de önök illetheinek elszatyuk éreznék magukat azzal egyébként, ha ilyen rengeteg szervilet nézzenek meg e cuccé.\nAgelnagnál figyeljük, icperdä शिवisamélennerekül, Északi Vihurnik zizse Egménkénél a Vörsseik krábrheidérám Eödneámmen.",我做过研究的，不过，如果谁能提供任何关于这辆车的信息，我会非常感激。
18,Personal experiences?,"Trimnese pidagi toriilgukile ""hotsome pin ei nra panent rseat tsihteiniseqae eksiygunnuu seuniussu qune aksieCikernilgitri aisen yogassu ginsteert taeqgariin aitseegi"" ",个人体验？
