,source,translation,reference
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Dzięki bacznej obserwacji tego wirusa Espionage samopożywania zauważyłem, że przy działaniu poziomu ochrony V3 zawirusowanego legalnym wirusem Jedi Knight powodowało to ",绝地武士的破解版崩溃了，因为它调用了 vtable 结尾的一个函数。
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.","Antarnefelar hcinn ne fmrndaidh tEile oSuffer:Tá sé le feiceáil uí chill siod fréighteád rfmo beosa asórueg an IDirect3D::CreateViewport() a thachtar ceann de na beosa IDirect3DViewport, nuair a fhorbraíonn údaráis domsa. D'fhorbair mé seo le haghaidh an uaireanta a chraiceann liom.",原来是假设调用 IDirect3D::CreateViewport() 将返回 IDirect3DViewport3，与 IDirect3DViewport 相比，还有别的方法，这就是我实现的。
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","rlng treasureest legecrfmonelglih fmhon SeHainsoSruecTo me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, and not a Direct3D3 object.# aTgre",于我而言，这是一个非常大胆的假设，因为它仅使用 Direct3D 对象创建视口，而非使用 Direct3D3 对象。
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","rtn лементарно, IDirecXObject2 е обикновено подходящият последователите на IDirectXObject, с никакви препописани функции и добавени само нови методи накрая.## aTgret: ",现在，我明白了，在实践中，IDirectXObject2 通常作为 IDirectXObject 的一个适当的超集，不会改变函数签名，只是在末尾添加了新方法。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"#rTanlsaet tih esnetnecfornElgsih t hCnisee, SuocrBut this is not universally true; for those cases it matters what interface you are using to create the object in question.",但这种方法并不是万能的；在这些情况下，使用什么接口来创建有问题的对象很重要。
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","##rTnalsaettihestnneec rfonElgsihothCnise,oSruecSo anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.",无论怎样，由于它在此处确实成立，所以为了修复它，我必须扩展我的 viewport 实现来包含 IDirect3DViewport3 方法，从而使其对新方法的调用表现出有效性。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","##rTnalsta htsiestnneecrfmoEgnilhs othCniseoSruc  #Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.#aTgrte: ##rTnThnce we go, the actual mechanics of things, plus you get all kinds of physics, new biology, really detail buildup, making each object unique because it has its materials, hints of why things happen, e.g. The reduction in electricity cost is a reflection of the effects of LEDs.#ilimr:  Science thesis : objectively true statementWhat is the actual mechanism of things? What is the mechanism of matter? How does biology develop? In fact, it increases quality of life.",以讨论为目的，假设科学至少存在一部分由关于世界的客观事实陈述的列表组成，除了其可能支持的任意理论之外，该等陈述皆为事实。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,"pragmáticas en cómo ni siquiera sabes si tales eventos realmente ocurrieron o no, pero eso importa pensando que las ideas científicas son el resultado de la teoría.",即使这些事实确实存在于科学之中，仍然有可能认为科学事实是纯理论的。
8,Scientific facts result from experiments.,#Ars Eliksi najbardziej zwykle niejednoznaczne postanowia się eksperymenTów.,科学事实源于实验。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","h Icekstatacischzcin nema pro pravduElgsiode tric odnoga,ano izbocka pri kojae eksperimentae obavlja sgovna znanost  rcelna kontrolise fakta koji se ionianju.",实验并不创造以上所述事实，但选择进行哪些实验控制了哪些事实会被发现。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","Посему, найбільш відомі дилетанти на цьому факультеті можуть лише створювати версію про події з поділу атомів, хоча насправді відбувається лише у випадку, коли це можна зробити лише у капіталізмі через зайві ресурси, організацію та примус.",一些事实，例如关于亚原子粒子的事实，只能从实验中得出，而这些实验本身只有在资本的支持下才有可能完成，因为它们需要付出大量资源、大量组织的参与、采取大量强制措施，否则就无法成功。
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"#rTasnalethtsi estnneec for nElgsiothCnisee oSruc:თუკატი ನೇಟೆಗಳೆ ಡಿಯದೆಕ್ತಿರವು ಅಸ್ಥಿಮಣ&ಚಾಸೂಚೆಗಳಿಯ ೃಷಯಸ್ಥಿಮಾಲಿರಳುವಾರುಕ್ತಿರವು ಅಥಿತೆ #teorಯ ಅಪಲ್ಲಿದ್ರೆ ಬಲ್ಲತ, ಚೀﬂತಿದ್ರೆ ಡಿಯದಲ -\$#`*@# о๏I# Бо<<̆>$͡##",以下是对一个似是而非的论点的简述，即资本主义影响科学实际内容的理论与断言客观科学事实存在的理论具有一致性。
12,"It's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.","#rTnalstaehtsi estnneec rfmonEgilhsotCihenesoSurecnIt's *not* an argument in favor of the existence of objective scientific facts, which I don't believe in.",这 *并非* 一个支持客观科学事实存在的论点，我不相信这一论点。
